,Case Number,Date,Year,Country,Area,Location,Sex ,Age,Activity,Time_int,Time_cat,Fatal,Species
998,2010.08.10.b,2010-08-10,2010.0,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",F,,fishing,19,,N,Uncomfirmed Species
999,2010.08.10,2010-08-10,2010.0,SOUTH KOREA,Jeju Province,Jeju Island,F,16,swimming,,afternoon,N,Uncomfirmed Species
1000,2010.08.08,2010-08-08,2010.0,AUSTRALIA,New South Wales,Crescent Head,M,47,surfing,08,,N,Uncomfirmed Species
1001,2010.08.07.b,2010-08-07,2010.0,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",M,25,surfing,15,,N,Uncomfirmed Species
1002,2010.08.07.a,2010-08-07,2010.0,MALTA,,"Off Fort St. Elmo, Valetta",M,35,surfing,,,N,Uncomfirmed Species
1003,2010.08.05,2010-08-05,2010.0,USA,Florida,"Bethune Beach, Volusia County",F,,swimming,19,,,Uncomfirmed Species
1004,2010.08.02.b,2010-08-02,2010.0,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",M,,sailing,12,,N,White Shark
1005,2010.08.02.a,2010-08-02,2010.0,USA,Florida,"Micklers Landing, St. Johns County",F,37,surfing,11,,N,Uncomfirmed Species
1006,2010.07.25,2010-07-25,2010.0,USA,South Carolina,"Isle of Palms, Charleston County",M,16,surfing,,,N,Uncomfirmed Species
1007,2010.07.23,2010-07-23,2010.0,USA,Florida,"Jacksonville Beach, Duval County",M,20,surfing,16,,N,Uncomfirmed Species
1008,2010.07.19,2010-07-19,2010.0,USA,South Carolina,Myrtle Beach,M,10,swimming,10,,N,Uncomfirmed Species
1009,2010.07.17.b,2010-07-17,2010.0,USA,North Carolina,"Wrightsville Beach, New Hanover County",F,13,swimming,13,,N,Tiger Shark
1010,2010.07.17.a,2010-07-17,2010.0,USA,Florida,New Smyrna Beach,M,55,surfing,,,N,Uncomfirmed Species
1011,2010.07.16.b,2010-07-16,2010.0,SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",M,9,swimming,19,,N,Uncomfirmed Species
1012,2010.07.16.a,2010-07-16,2010.0,USA,Texas,Galveston,M,,fishing,,,N,Uncomfirmed Species
1013,2010.07.11,2010-07-11,2010.0,USA,Florida,"Lauderdale-by-the-Sea, Broward County",M,,fishing,,,N,Uncomfirmed Species
1014,2010.07.04,2010-07-04,2010.0,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",F,21,swimming,,,N,Uncomfirmed Species
1015,2010.07.03,2010-07-03,2010.0,USA,New York,Off Long Island,M,20,fishing,12,,N,Uncomfirmed Species
1016,2010.07.02.b,2010-07-02,2010.0,USA,California,"Pismo Beach, San Luis  Obispo County",M,19,surfing,,,N,Uncomfirmed Species
1017,2010.07.02.a,2010-07-02,2010.0,USA,California,"Dog Patch, San Onofre",M,48,surfing,15,,N,Uncomfirmed Species
1018,2010.06.27,2010-06-27,2010.0,USA,Texas,"Eight Mile Beach, Galveston",M,20,surfing,,,N,Bull Shark
1019,2010.06.25.b,2010-06-25,2010.0,USA,South Carolina,Fripp Island,F,6,surfing,,,N,Uncomfirmed Species
1020,2010.06.25.a,2010-06-25,2010.0,USA,North Carolina,"Topsail Island, Pender County",F,13,swimming,13,,N,Uncomfirmed Species
1021,2010.06.15,2010-06-15,2010.0,VIETNAM,Binh Dinh Province,Quy Nhon ,M,17,swimming,17,,N,Uncomfirmed Species
1022,2010.06.10,2010-06-10,2010.0,USA,Florida,Jacksonville,F,18,surfing,12,,N,Uncomfirmed Species
1023,2010.06.06,2010-06-06,2010.0,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",M,40,surfing,12,,N,Uncomfirmed Species
1024,2010.06.00,,2010.0,USA,Florida,"Ponte Vedra Beach, St Johns County",M,20,surfing,,,N,Uncomfirmed Species
1025,2010.05.30,2010-05-30,2010.0,USA,Florida,Off Tarpon Springs,M,49,fishing,08,,N,Uncomfirmed Species
1026,2010.05.18.c,2010-05-18,2010.0,VIETNAM,Binh Dinh Province,Quy Nhon ,F,58,others,18,,N,Uncomfirmed Species
1027,2010.05.18.b,2010-05-18,2010.0,VIETNAM,Binh Dinh Province,Quy Nhon ,F,60,swimming,18,,N,Uncomfirmed Species
1028,2010.05.18.a,2010-05-18,2010.0,AUSTRALIA,New South Wales,Point Plomer,M,,surfing,16,,N,Uncomfirmed Species
1029,2010.05.03,2010-05-03,2010.0,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",M,59,swimming,09,,N,Uncomfirmed Species
1030,2010.05.01,2010-05-01,2010.0,USA,Florida,New Smyrna Beach,F,10,swimming,10,,N,Uncomfirmed Species
1031,2010.04.28,2010-04-28,2010.0,USA,Florida,Hanalei Bay,M,29,swimming,,afternoon,N,Uncomfirmed Species
1032,2010.04.19,2010-04-19,2010.0,USA,Hawaii,"Hanalei Bay, Kauai",M,68,surfing,16,,N,Uncomfirmed Species
1033,2010.04.13,2010-04-13,2010.0,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",M,35,surfing,10,,N,Uncomfirmed Species
1034,2010.04.04,2010-04-04,2010.0,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,M,24,swimming,14,,N,White Shark
1035,2010.03.27,2010-03-27,2010.0,REUNION,Saint-Benoit,Bittern,M,34,surfing,11,,N,Uncomfirmed Species
1036,2010.02.19,2010-02-19,2010.0,NEW ZEALAND,South Island,Tahunanui Beach,M,,swimming,,night,N,Uncomfirmed Species
1037,2010.02.16,2010-02-16,2010.0,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,M,,surfing,11,,N,Uncomfirmed Species
1038,2010.02.15,2010-02-15,2010.0,FIJI,Off Vanua Levu,Nara Reef,M,19,swimming,09,,Y,Uncomfirmed Species
1039,2010.02.13,2010-02-13,2010.0,AUSTRALIA,Queensland,"Dent Island, Whitsundays",F,60,swimming,13,,N,Uncomfirmed Species
1040,2010.02.11,2010-02-11,2010.0,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",M,46,surfing,08,,N,Wobbegong Shark
1041,2010.02.06.R,2010-02-06,2010.0,NEW ZEALAND,South Island,Cosy Nook,M,,fishing,,,N,Uncomfirmed Species
1042,2010.02.06.b,2010-02-06,2010.0,AUSTRALIA,New South Wales,Turners' Beach,M,18,surfing,15,,N,White Shark
1043,2010.02.06.a,2010-02-06,2010.0,USA,Florida,Riviera Beach,M,,swimming,15,,N,Uncomfirmed Species
1044,2010.02.04,2010-02-04,2010.0,GUAM,Merizo,Achang Reef,M,31,swimming,11,,,No shark involved
1045,2010.02.03,2010-02-03,2010.0,USA,Florida,"Stuart, Martin County",M,38,surfing,15,,Y,Uncomfirmed Species
1046,2010.02.01,2010-02-01,2010.0,NEW ZEALAND,South Island,Oreti Beach,F,14,surfing,18,,N,Uncomfirmed Species
1047,2010.01.30,2010-01-30,2010.0,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",M,29,surfing,,,N,Hammerhead Shark
1048,2010.01.27,2010-01-27,2010.0,AUSTRALIA,Queensland,Archie's Beach,M,,surfing,16,,N,Uncomfirmed Species
1049,2010.01.22.b,2010-01-22,2010.0,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",M,54,surfing,,,N,Uncomfirmed Species
1050,2010.01.22.a,2010-01-22,2010.0,AUSTRALIA,Victoria,Geelong,M,,surfing,07,,N,Uncomfirmed Species
1051,2010.01.12,2010-01-12,2010.0,SOUTH AFRICA,Western Province,Fish Hoek,M,37,surfing,15,,Y,White Shark
1052,2010.01.09.d,2010-01-09,2010.0,AUSTRALIA,Torres Strait,Thursday Island,F,9,swimming,,,N,White Shark
1053,2010.01.09.c,2010-01-09,2010.0,VIETNAM,Binh Dinh Province,Quy Nhon ,F,,others,,,N,Uncomfirmed Species
1054,2010.01.09.b,2010-01-09,2010.0,VIETNAM,Binh Dinh Province,Quy Nhon ,M,,others,17,,N,Uncomfirmed Species
1055,2010.01.09.a,2010-01-09,2010.0,VIETNAM,Binh Dinh Province,Quy Nhon ,M,,swimming,06,,N,Uncomfirmed Species
1056,2010.01.06,2010-01-06,2010.0,USA,Florida,Elliot Key,M,32,fishing,10,,N,Uncomfirmed Species
1057,2010.01.05,2010-01-05,2010.0,SOUTH AFRICA,Eastern Province,"Nahoon, East London",M,,surfing,,,N,Uncomfirmed Species
1058,2009.12.29,2009-12-29,2009.0,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,M,20,swimming,08,,N,Uncomfirmed Species
1059,2009.12.26,2009-12-26,2009.0,AUSTRALIA,New South Wales,Avoca Beach,M,55,swimming,11,,N,Uncomfirmed Species
1060,2009.12.22,2009-12-22,2009.0,MOZAMBIQUE,Maputo Province,Ponta do Ouro,M,27,swimming,16,,N,Uncomfirmed Species
1061,2009.12.20.b,2009-12-20,2009.0,AUSTRALIA,Queensland,Mudjimba Island,M,,sailing,11,,N,Uncomfirmed Species
1062,2009.12.20.a,2009-12-20,2009.0,AUSTRALIA,Queensland,Lamont Reef,M,18,fishing,07,,N,Bull Shark
1063,2009.12.18,2009-12-18,2009.0,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",M,22,surfing,14,,Y,Uncomfirmed Species
1064,2009.12.18,2009-12-18,2009.0,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",M,,surfing,,,,Uncomfirmed Species
1065,2009.12.16,2009-12-16,2009.0,NEW ZEALAND,South Island,Clark Island,M,24,swimming,,,Y,White Shark
1066,2009.12.13,2009-12-13,2009.0,AUSTRALIA,New South Wales,Coffee Head,M,39,surfing,07,,N,Uncomfirmed Species
1067,2009.12.12,2009-12-12,2009.0,AUSTRALIA,New South Wales,Hawks Nest Beach,,,sailing,07,,N,White Shark
1068,2009.12.06,2009-12-06,2009.0,USA,New Jersey,"Adventure Aquarium, Camden",M,58,swimming,13,,N,Tiger Shark
1069,2009.11.25,2009-11-25,2009.0,USA,California,"Huntington Beach, Orange County",M,49,surfing,15,,,Uncomfirmed Species
1070,2009.11.24,2009-11-24,2009.0,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",M,10,swimming,,morning,N,Uncomfirmed Species
1071,2009.11.16.b,2009-11-16,2009.0,USA,California,"Loch Lomond, Marin County",M,31,fishing,16,,N,Uncomfirmed Species
1072,2009.11.16.a,2009-11-16,2009.0,USA,Florida,"Jupiter, Palm Beach County",M,22,surfing,09,,N,Uncomfirmed Species
1073,2009.11.13,2009-11-13,2009.0,USA,Florida,"Jupiter, Palm Beach County",F,27,surfing,16,,N,Uncomfirmed Species
1074,2009.11.11,2009-11-11,2009.0,USA,Florida,"New Smyrna Beach, Volusia County",M,18,surfing,,afternoon,N,Uncomfirmed Species
1075,2009.11.08,2009-11-08,2009.0,AUSTRALIA,South Australia,Second Valley,M,25,sailing,10,,N,Uncomfirmed Species
1076,2009.11.05,2009-11-05,2009.0,USA,California,"Davenport, Santa Cruz County",M,21,surfing,,night,N,Uncomfirmed Species
1077,2009.10.30,2009-10-30,2009.0,AUSTRALIA,Victoria,Portland,M,27,sailing,,morning,N,White Shark
1078,2009.10.29.R,2009-10-29,2009.0,MOZAMBIQUE,Inhambane Province,Off Vilanculo,M,,fishing,,,N,Uncomfirmed Species
1079,2009.10.28,2009-10-28,2009.0,AUSTRALIA,New South Wales,Lennox Heads,F,17,surfing,07,,N,Uncomfirmed Species
1080,2009.10.24,2009-10-24,2009.0,USA,California,"San Onofre, San Diego County ",M,,surfing,17,,N,Uncomfirmed Species
1081,2009.10.19,2009-10-19,2009.0,USA,Hawaii,"Kalama Park, Maui",M,54,surfing,06,,N,Uncomfirmed Species
1082,2009.10.18,2009-10-18,2009.0,PANAMA,Bocas,Playa La Cabaña ,F,10,swimming,18,,N,Uncomfirmed Species
1083,2009.10.17,2009-10-17,2009.0,SCOTLAND,Fife,Deep Sea World Aquarium,M,23,swimming,14,,N,Uncomfirmed Species
1084,2009.10.14.R,2009-10-14,2009.0,AUSTRALIA,Western Australia,,M,23,swimming,,,N,Bull Shark
1085,2009.10.09,2009-10-09,2009.0,USA,California,"San Onofre State Beach, San Diego County",M,,surfing,11,,N,Uncomfirmed Species
1086,2009.10.02,2009-10-02,2009.0,UNITED KINGDOM,Devon,Mewstone Rock,M,39,fishing,12,,N,Uncomfirmed Species
1087,2009.09.26,2009-09-26,2009.0,USA,Florida,"Key Colony Beach, Monroe County",M,,swimming,17,,N,Bull Shark
1089,2009.09.15,2009-09-15,2009.0,SOMALIA,,300 miles off the coast ,M,,fishing,,,N,Uncomfirmed Species
1090,2009.09.13,2009-09-13,2009.0,BRAZIL,Pernambuco,"Piedade, Recife",M,34,others,,,Y,Uncomfirmed Species
1091,2009.09.12,2009-09-12,2009.0,USA,North Carolina,"Corolla, Currituck County",M,60,swimming,21,,Y,Uncomfirmed Species
1092,2009.09.07,2009-09-07,2009.0,BRAZIL,Pernambuco,"Piedade, Recife",M,15,swimming,,afternoon,Y,Uncomfirmed Species
1093,2009.09.02,2009-09-02,2009.0,NEVIS,,Castle Beach,M,,swimming,,,,No shark involved
1094,2009.09.01,2009-09-01,2009.0,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",M,,fishing,,,N,Uncomfirmed Species
1095,2009.08.30,2009-08-30,2009.0,USA,California,"Huntington Beach, Orange County",M,,surfing,18,,N,Uncomfirmed Species
1096,2009.08.29,2009-08-29,2009.0,SOUTH AFRICA,Western Cape Province,Glentana,M,25,surfing,15,,Y,White Shark
1097,2009.08.25,2009-08-25,2009.0,USA,California,"Terramar Beach, Carlsbad, San Diego County",F,22,swimming,16,,N,White Shark
1098,2009.08.11,2009-08-11,2009.0,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand ,M,,surfing,,,N,White Shark
1099,2009.08.10,2009-08-10,2009.0,USA,Florida,"Ponce, Volusia County",M,26,swimming,19,,N,Uncomfirmed Species
1100,2009.08.06,2009-08-06,2009.0,USA,Hawaii,Kawa'a ,M,,surfing,08,,N,Tiger Shark
1101,2009.08.01,2009-08-01,2009.0,USA,Louisiana,"Curlew Island, Breton Sound",M,56,fishing,10,,N,Bull Shark
1102,2009.07.31,2009-07-31,2009.0,BAHAMAS,Abaco Islands,Spanish Cay,M,14,fishing,,,N,Bull Shark
1103,2009.07.30,2009-07-30,2009.0,AUSTRALIA,New South Wales,Broken Head,M,14,surfing,06,,N,Uncomfirmed Species
1104,2009.07.29,2009-07-29,2009.0,VIETNAM,Binh Dinh Province,Quy Nhon ,F,41,swimming,17,,N,Uncomfirmed Species
1105,2009.07.24.R,2009-07-24,2009.0,KENYA,Mombasa,Likoni Channel,M,,swimming,,,Y,Uncomfirmed Species
1106,2009.07.24.b,2009-07-24,2009.0,USA,Texas,South Padre Island,F,14,swimming,,afternoon,N,Uncomfirmed Species
1107,2009.07.24.a,2009-07-24,2009.0,SPAIN,Catalunya,Sant Salvador,F,11,swimming,10,,,No shark involved
1108,2009.07.22.b,2009-07-22,2009.0,USA,North Carolina,Holden Beach. Brunswick County,F,26,swimming,15,,N,Uncomfirmed Species
1109,2009.07.22.a,2009-07-22,2009.0,USA,Florida,"Intracoastal Waterway,      St. Petersburg",F,19,swimming,15,,N,Uncomfirmed Species
1110,2009.07.18,2009-07-18,2009.0,VIETNAM,Binh Dinh Province,Quy Nhon ,M,57,swimming,,,N,Uncomfirmed Species
1111,2009.07.11.b,2009-07-11,2009.0,BAHAMAS,,,M,,fishing,,,N,Uncomfirmed Species
1112,2009.07.11.a,2009-07-11,2009.0,USA,California,"San Onofre, San Diego County ",M,,surfing,08,,N,Uncomfirmed Species
1113,2009.07.07,2009-07-07,2009.0,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",M,37,surfing,11,,N,Uncomfirmed Species
1114,2009.07.05,2009-07-05,2009.0,USA,Florida,"Daytona Beach, Volusia County",F,12,surfing,16,,N,Uncomfirmed Species
1115,2009.07.04,2009-07-04,2009.0,USA,Florida,"Biscayne National Park, Miami",F,43,swimming,,,N,Uncomfirmed Species
1116,2009.06.27,2009-06-27,2009.0,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",M,52,surfing,08,,N,Uncomfirmed Species
1117,2009.06.21,2009-06-21,2009.0,USA,California,"Shell Beach, San Luis Obispo County",M,26,surfing,,,,Uncomfirmed Species
1118,2009.06.16,2009-06-16,2009.0,USA,Florida,"Melbourne Beach, Brevard County",M,14,others,17,,,Uncomfirmed Species
1119,2009.06.14.R,2009-06-14,2009.0,VIETNAM,,,M,,swimming,,,N,White Shark
1120,2009.06.02.b,2009-06-02,2009.0,EGYPT,St. Johns Reef,Habili Gafar,M,,swimming,,,N,White Shark
1121,2009.06.02.a,2009-06-02,2009.0,EGYPT,St. Johns Reef,Habili Gafar,M,,swimming,,,N,White Shark
1122,2009.06.01,2009-06-01,2009.0,EGYPT,St. Johns Reef,Habili Gafar,F,50,swimming,,morning,Y,White Shark
1123,2009.05.31,2009-05-31,2009.0,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13  ,M,46,fishing,20,,N,Uncomfirmed Species
1124,2009.05.25,2009-05-25,2009.0,USA,Florida,"Clearwater Beach, Pinellas County",M,,swimming,20,,N,Uncomfirmed Species
1125,2009.05.17,2009-05-17,2009.0,USA,Florida,"New Smyrna Beach, Volusia County",M,31,surfing,09,,N,Uncomfirmed Species
1126,2009.05.16.b,2009-05-16,2009.0,USA,Florida,"New Smyrna Beach, Volusia County",M,49,surfing,10,,N,Uncomfirmed Species
1127,2009.05.16.a,2009-05-16,2009.0,USA,Florida,"New Smyrna Beach, Volusia County",M,55,surfing,10,,N,Uncomfirmed Species
1128,2009.05.12,2009-05-12,2009.0,GUAM,North Region,Ritidian Point,M,27,fishing,,afternoon,N,Uncomfirmed Species
1129,2009.05.06,2009-05-06,2009.0,BAHAMAS,Exuma Islands,,M,48,fishing,,,N,Uncomfirmed Species
1130,2009.04.28,2009-04-28,2009.0,USA,Florida,"St. Augustine, St. John's County",F,,others,16,,N,Uncomfirmed Species
1131,2009.04.25.R,2009-04-25,2009.0,USA,California,"San Onofre State Beach, San Diego County",M,,surfing,10,,N,Uncomfirmed Species
1132,2009.04.21,2009-04-21,2009.0,USA,Florida,"New Smyrna Beach, Volusia County",M,20,surfing,,afternoon,N,Uncomfirmed Species
1133,2009.04.20,2009-04-20,2009.0,PHILIPPINES,Batangas province,Mabini,M,23,swimming,,,N,Uncomfirmed Species
1134,2009.04.19,2009-04-19,2009.0,USA,Florida,"Carlin Park, Jupiter Inlet",M,52,surfing,16,,N,Uncomfirmed Species
1135,2009.04.17.,2009-04-17,2009.0,USA,Florida,"Walton Rocks, St Lucie County",M,31,surfing,13,,N,Uncomfirmed Species
1136,2009.04.11,2009-04-11,2009.0,USA,Hawaii,Kona,M,49,fishing,,,,Uncomfirmed Species
1137,2009.04.12,2009-04-12,2009.0,AUSTRALIA,New South Wales,Fingal Bay,M,40,swimming,08,,N,Uncomfirmed Species
1138,2009.04.06.b,2009-04-06,2009.0,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,M,24,swimming,,morning,,Uncomfirmed Species
1139,2009.04.06.a,2009-04-06,2009.0,USA,California,San Diego County,M,,fishing,07,,N,White Shark
1140,2009.04.03,2009-04-03,2009.0,USA,Florida,"Sanibel Island, Lee County",M,15,swimming,16,,N,Uncomfirmed Species
1141,2009.03.27,2009-03-27,2009.0,SOUTH AFRICA,Eastern Cape Province,2-3 km north of Sunday's River mouth,M,59,fishing,,,N,Uncomfirmed Species
1142,2009.03.21,2009-03-21,2009.0,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",M,16,surfing,,afternoon,Y,Uncomfirmed Species
1143,2009.03.20,2009-03-20,2009.0,AUSTRALIA,New South Wales,Blue Bay,M,17,surfing,18,,N,Uncomfirmed Species
1144,2009.03.19.b,2009-03-19,2009.0,AUSTRALIA,New South Wales,South Broulee,M,,surfing,,morning,N,Uncomfirmed Species
1145,2009.03.19.a,2009-03-19,2009.0,AUSTRALIA,New South Wales,Bateman's Bay,F,,surfing,07,,N,Uncomfirmed Species
1146,2009.03.18.a,2009-03-18,2009.0,USA,Florida,"Ponce Inlet, Volusia County",F,17,surfing,17,,N,Uncomfirmed Species
1147,2009.03.17.R,2009-03-17,2009.0,MALAYSIA,Strait of Malacca,Pulau Payar Island,F,,swimming,,,N,Uncomfirmed Species
1148,2009.03.17,2009-03-17,2009.0,USA,Hawaii,Alenuihaha Channel,M,61,swimming,20,,N,Uncomfirmed Species
1149,2009.03.16.R,2009-03-16,2009.0,AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island",M,21,swimming,,,N,Wobbegong Shark
1150,2009.03.06,2009-03-06,2009.0,NEW CALEDONIA,South Province,Bourail,M,19,surfing,11,,Y,Uncomfirmed Species
1151,2009.03.02,2009-03-02,2009.0,SOUTH AFRICA,Western Cape Province,Off Cape Point,M,40,fishing,13,,N,Uncomfirmed Species
1152,2009.03.01.b,2009-03-01,2009.0,NEW ZEALAND,North Island,Taranaki,M,,fishing,,,N,Uncomfirmed Species
1153,2009.03.01.a,2009-03-01,2009.0,AUSTRALIA,New South Wales,Avalon,M,15,surfing,06,,N,Uncomfirmed Species
1154,2009.02.22,2009-02-22,2009.0,AUSTRALIA,Queensland,Batt Reef,M,,fishing,10,,N,Uncomfirmed Species
1155,2009.02.18,2009-02-18,2009.0,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",M,,surfing,17,,N,Uncomfirmed Species
1156,2009.02.12,2009-02-12,2009.0,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",M,33,surfing,19,,N,White Shark
1157,2009.02.11,2009-02-11,2009.0,AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour",M,31,swimming,07,,N,Bull Shark
1158,2009.02.08,2009-02-08,2009.0,USA,Puerto Rico,Quebradillas,M,,swimming,,,Y,Uncomfirmed Species
1159,2009.02.07.b,2009-02-07,2009.0,AUSTRALIA,New South Wales,Cellito Beach,M,41,surfing,11,,N,White Shark
1160,2009.02.07.a,2009-02-07,2009.0,AUSTRALIA,New South Wales,Sandon,M,,surfing,07,,N,Uncomfirmed Species
1161,2009.01.27.R,2009-01-27,2009.0,AZORES,,Onboard the fishing vessel Nuevo Cedes ,M,49,fishing,,,N,Uncomfirmed Species
1162,2009.01.26.R,2009-01-26,2009.0,BRAZIL,,Praia do Olho d'Aqua,M,17,others,,,,Uncomfirmed Species
1163,2009.01.25,2009-01-25,2009.0,CUBA,Guantanamo Province,Guantanamo Bay,M,15,fishing,10,,N,Bull Shark
1164,2009.01.24.c,2009-01-24,2009.0,NEW ZEALAND,North Island,Alderman Islands,,,fishing,19,,N,Uncomfirmed Species
1165,2009.01.24.b,2009-01-24,2009.0,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",M,19,swimming,16,,N,Uncomfirmed Species
1166,2009.01.24.a,2009-01-24,2009.0,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",M,25,swimming,14,,Y,Tiger Shark
1167,2009.01.23,2009-01-23,2009.0,BRAZIL,Maranhão,Olho d'Água ,M,17,swimming,,,,No shark involved
1168,2009.01.18,2009-01-18,2009.0,AUSTRALIA,Victoria,Off Tower Hill,M,,fishing,09,,N,White Shark
1169,2009.01.16,2009-01-16,2009.0,NEW ZEALAND,South Island,Karitane Beach,M,,surfing,,,N,Uncomfirmed Species
1170,2009.01.13.R,2009-01-13,2009.0,SOUTH AFRICA,Western Cape Province,"Shark Alley, off Gansbaai",,,others,,,Y,White Shark
1171,2009.01.12,2009-01-12,2009.0,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",M,24,swimming,10,,N,Uncomfirmed Species
1172,2009.01.11.b,2009-01-11,2009.0,AUSTRALIA,Tasmania,Binalong Bay,F,13,surfing,15,,N,White Shark
1173,2009.01.11.a,2009-01-11,2009.0,AUSTRALIA,New South Wales,Fingal Beach,M,31,surfing,09,,N,White Shark
1174,2009.01.10.R,2009-01-10,2009.0,NEW ZEALAND,North Island,Hawkes Bay,,,fishing,,,N,Uncomfirmed Species
1175,2009.01.10.a,2009-01-10,2009.0,ECUADOR,Galapagos Islands,Isla Isabella,M,22,surfing,,,N,Uncomfirmed Species
1176,2009.01.06,2009-01-06,2009.0,NEW ZEALAND,North Island,Haumoana ,M,49,swimming,17,,N,Uncomfirmed Species
1177,2009.01.00,,2009.0,CUBA,Guantanamo Province,Guantanamo,,,fishing,,,N,Bull Shark
1178,2008.12.30,2008-12-30,2008.0,AUSTRALIA,Western Australia,Port Kennedy Beach,,,others,09,,,Uncomfirmed Species
1179,2008.12.27.d,2008-12-27,2008.0,AUSTRALIA,Tasmania,near Schouten Island,,,sailing,,,N,Uncomfirmed Species
1180,2008.12.27.c,2008-12-27,2008.0,AUSTRALIA,New South Wales,Seal Rocks,M,10,surfing,,,N,Uncomfirmed Species
1181,2008.12.27.b,2008-12-27,2008.0,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",M,29,sailing,11,,N,White Shark
1182,2008.12.27.a,2008-12-27,2008.0,AUSTRALIA,Western Australia,Port Kennedy Beach,M,51,swimming,07,,Y,White Shark
1183,2008.12.20,2008-12-20,2008.0,USA,California,"Dillon Beach, Marin County",M,,sailing,15,,N,White Shark
1184,2008.12.14,2008-12-14,2008.0,NEW ZEALAND,North Island,Maraetai,M,,fishing,,,N,Uncomfirmed Species
1185,2008.12.10,2008-12-10,2008.0,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,M,15,fishing,20,,N,Uncomfirmed Species
1186,2008.12.06,2008-12-06,2008.0,AUSTRALIA,New South Wales,Mowarry Point,,,fishing,,morning,N,White Shark
1187,2008.12.00,,2008.0,MOZAMBIQUE,Inhambane Province,Chidenguele,M,,fishing,,,Y,Uncomfirmed Species
1188,2008.11.28,2008-11-28,2008.0,EGYPT,Red Sea,Elphinstone Reef,F,,swimming,,morning,N,White Shark
1189,2008.11.25,2008-11-25,2008.0,PHILIPPINES,Batanes Provine,Luzon Strait,M,,sailing,,,N,Uncomfirmed Species
1190,2008.11.24,2008-11-24,2008.0,ECUADOR,Galapagos Islands,Santa Cruz,F,,others,,,N,Uncomfirmed Species
1191,2008.11.09.b,2008-11-09,2008.0,AUSTRALIA,South Australia,North Haven,M,,fishing,,,N,Uncomfirmed Species
1192,2008.11.09.a,2008-11-09,2008.0,TAIWAN,,50 miles off Kaohsiung,M,45,fishing,,,Y,Uncomfirmed Species
1193,2008.11.06,2008-11-06,2008.0,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",M,39,fishing,10,,Y,Uncomfirmed Species
1194,2008.10.22,2008-10-22,2008.0,AUSTRALIA,New South Wales,"Oceanworld, Manley",M,34,swimming,17,,N,Uncomfirmed Species
1195,2008.10.21,2008-10-21,2008.0,NEW CALEDONIA,,,M,24,fishing,11,,N,Uncomfirmed Species
1196,2008.10.12,2008-10-12,2008.0,AUSTRALIA,Northern Territory,Darwin,M,50,fishing,,,N,Uncomfirmed Species
1197,2008.10.11,2008-10-11,2008.0,AUSTRALIA,New South Wales,Lake Macquarie,M,15,surfing,15,,N,Uncomfirmed Species
1198,2008.10.08,2008-10-08,2008.0,USA,Florida,"Santa Rosa Beach, Walton County",M,11,fishing,12,,N,Uncomfirmed Species
1199,2008.10.06,2008-10-06,2008.0,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",M,43,fishing,12,,N,White Shark
1200,2008.09.28.b,2008-09-28,2008.0,USA,Florida,"New Smyrna Beach, Volusia County",M,44,surfing,11,,N,Uncomfirmed Species
